timestamp,trade,fill_price,reservation_price,inventory,cash_position,portfolio_value
2025-04-17 11:16:00,SELL,371.55,371.57,-7,2229.43,-371.42
2025-04-17 11:19:30,SELL,372.11,372.12,-8,2601.54,-375.14
2025-04-17 11:21:00,SELL,371.67,371.7,-9,2973.21,-371.91
2025-04-17 11:25:30,SELL,371.25,371.25,-10,3344.46,-367.84
2025-04-17 11:28:30,SELL,370.6,370.61,-11,3715.06,-361.43
2025-04-17 11:29:30,BUY,370.45,370.44,-10,3344.61,-359.74
2025-04-17 11:32:00,SELL,371.16,371.16,-11,3715.77,-366.825
2025-04-17 11:34:30,SELL,371.36,371.37,-12,4087.13,-369.13
2025-04-17 11:35:30,SELL,370.86,370.87,-13,4457.99,-363.255
2025-04-17 11:39:30,SELL,371.46,371.5,-14,4829.45,-370.99
2025-04-17 11:40:30,BUY,371.57,371.57,-13,4457.88,-372.335
2025-04-17 11:41:30,BUY,371.3,371.29,-12,4086.58,-368.78
2025-04-17 11:43:00,BUY,370.97,370.95,-11,3715.61,-364.73
2025-04-17 11:44:30,BUY,370.77,370.74,-10,3344.84,-362.41
2025-04-17 11:46:00,SELL,370.57,370.59,-11,3715.41,-360.915
2025-04-17 11:47:00,BUY,370.84,370.83,-10,3344.57,-363.63
2025-04-17 11:50:00,SELL,370.5,370.5,-11,3715.07,-360.155
2025-04-17 11:53:30,SELL,370.68,370.73,-12,4085.75,-362.59
2025-04-17 11:56:30,SELL,371.08,371.11,-13,4456.83,-367.145
2025-04-17 11:57:00,BUY,371.13,371.12,-12,4085.7,-367.62
2025-04-17 11:58:00,SELL,370.9,370.91,-13,4456.6,-365.1
2025-04-17 11:58:30,BUY,370.9,370.88,-12,4085.7,-364.74
2025-04-17 11:59:00,BUY,370.84,370.83,-11,3714.86,-364.27
2025-04-17 11:59:30,BUY,370.84,370.83,-10,3344.02,-364.23
2025-04-17 12:00:30,BUY,371.11,371.1,-9,2972.91,-366.9
2025-04-17 12:01:30,BUY,371.0,370.98,-8,2601.91,-365.89
2025-04-17 12:02:30,BUY,370.99,370.97,-7,2230.92,-365.8
2025-04-17 12:04:30,SELL,370.7,370.71,-8,2601.62,-363.98
2025-04-17 12:09:30,SELL,372.19,372.24,-9,2973.81,-375.99
2025-04-17 12:10:30,BUY,371.81,371.8,-8,2602.0,-372.36
2025-04-17 12:16:00,SELL,372.02,372.04,-9,2974.02,-373.575
2025-04-17 12:18:00,SELL,371.71,371.74,-10,3345.73,-371.32
2025-04-17 12:19:30,SELL,372.23,372.27,-11,3717.96,-376.68
