timestamp,inventory,cash_position,mid_price,portfolio_value,unrealized_pnl
2025-03-20 12:45:00,8,996610.82,386.88,999705.82,3.48
2025-03-20 13:00:00,9,996224.25,386.97,999706.98,3.6
2025-03-20 13:15:00,0,999709.18,386.37,999709.18,-0.0
2025-03-20 13:30:00,1,999323.6,386.12,999709.72,0.54
2025-03-20 13:45:00,2,998937.71,386.49,999710.69,1.2
2025-03-20 14:00:00,3,998551.79,386.22,999710.45,0.9
2025-03-20 14:15:00,4,998167.03,385.49,999708.99,2.92
2025-03-20 14:30:00,5,997782.41,385.06,999707.735,2.225
2025-03-20 14:45:00,6,997397.22,385.95,999712.92,4.56
2025-03-20 15:00:00,7,997011.45,386.16,999714.57,2.73
2025-03-20 15:15:00,8,996625.66,386.45,999717.26,5.28
2025-03-20 15:30:00,9,996239.99,386.06,999714.53,3.51
2025-03-20 15:45:00,0,999728.85,386.76,999728.85,-0.0
2025-03-21 09:45:00,1,999344.63,384.86,999729.485,0.635
2025-03-21 10:00:00,2,998960.14,385.12,999730.37,1.25
2025-03-21 10:15:00,3,998575.94,384.64,999729.875,1.335
2025-03-21 10:30:00,4,998192.08,384.47,999729.94,2.42
2025-03-21 10:45:00,5,997808.44,384.25,999729.665,3.025
2025-03-21 11:00:00,6,997424.21,384.67,999732.23,2.64
2025-03-21 11:15:00,7,997040.55,384.01,999728.655,2.485
2025-03-21 11:45:00,8,996657.38,383.7,999726.98,4.24
2025-03-21 12:15:00,9,996272.59,385.36,999740.785,5.085
2025-03-21 12:30:00,0,999746.01,385.63,999746.01,-0.0
2025-03-21 12:45:00,1,999360.55,385.81,999746.365,0.355
2025-03-21 13:00:00,2,998975.46,385.57,999746.61,0.97
2025-03-21 13:15:00,3,998590.99,384.87,999745.6,1.2
2025-03-21 13:45:00,4,998205.12,386.27,999750.22,1.62
2025-03-21 14:00:00,5,997819.66,385.79,999748.61,1.65
2025-03-21 14:15:00,6,997434.52,385.56,999747.91,2.55
2025-03-21 14:30:00,7,997049.25,385.78,999749.71,3.57
2025-03-21 14:45:00,8,996663.54,385.99,999751.42,2.2
2025-03-21 15:00:00,9,996278.41,385.56,999748.45,3.87
2025-03-21 15:15:00,0,999749.08,385.36,999749.08,-0.0
2025-03-21 15:30:00,1,999363.75,385.53,999749.285,0.205
2025-03-24 09:30:00,2,998972.25,393.38,999759.0,3.75
2025-03-24 10:15:00,3,998581.06,391.88,999756.7,2.07
2025-03-24 10:30:00,4,998189.81,391.77,999756.89,2.08
2025-03-24 10:45:00,5,997798.16,392.08,999758.56,2.15
2025-03-24 11:00:00,6,997406.34,392.57,999761.76,4.5
2025-03-24 11:15:00,7,997013.55,392.99,999764.48,1.4
2025-03-24 11:30:00,8,996621.14,392.87,999764.1,3.68
2025-03-24 11:45:00,9,996228.24,393.14,999766.5,2.16
2025-03-24 12:00:00,0,999769.08,393.0,999769.08,-0.0
2025-03-24 12:15:00,1,999376.58,392.75,999769.325,0.245
2025-03-24 12:30:00,2,998984.35,392.53,999769.41,0.6
2025-03-24 12:45:00,3,998592.07,392.63,999769.96,1.05
2025-03-24 13:00:00,4,998200.12,392.18,999768.84,0.92
2025-03-24 13:15:00,5,997807.92,392.37,999769.745,0.825
2025-03-24 13:30:00,6,997415.81,392.41,999770.27,1.8
2025-03-24 13:45:00,7,997023.94,392.17,999769.13,2.1
2025-03-24 14:00:00,8,996632.26,391.96,999767.94,2.24
2025-03-24 14:15:00,9,996240.58,391.94,999768.085,2.385
2025-03-24 14:30:00,0,999774.25,392.13,999774.25,-0.0
2025-03-24 14:45:00,1,999382.39,392.33,999774.72,0.47
2025-03-24 15:00:00,2,998989.75,392.88,999775.51,0.48
2025-03-24 15:15:00,3,998597.18,392.81,999775.595,0.705
2025-03-24 15:30:00,4,998204.81,392.68,999775.53,1.24
2025-03-24 15:45:00,5,997812.51,392.95,999777.26,3.25
2025-03-25 09:30:00,6,997419.8,394.02,999783.92,7.86
2025-03-25 09:45:00,7,997025.55,394.66,999788.17,2.87
2025-03-25 10:00:00,8,996631.77,394.44,999787.29,5.28
2025-03-25 10:15:00,9,996237.08,395.24,999794.24,4.95
2025-03-25 10:30:00,0,999796.68,394.79,999796.68,-0.0
2025-03-25 10:45:00,1,999401.61,395.39,999797.0,0.32
2025-03-25 11:00:00,2,999006.39,395.77,999797.93,1.1
2025-03-25 11:15:00,3,998611.13,395.41,999797.375,0.465
2025-03-25 11:30:00,4,998216.82,394.87,999796.3,2.24
2025-03-25 11:45:00,5,997822.74,394.36,999794.515,1.375
2025-03-25 12:00:00,6,997428.42,394.51,999795.51,1.17
2025-03-25 12:15:00,7,997034.28,394.49,999795.71,2.45
2025-03-25 12:30:00,8,996640.38,394.18,999793.82,2.24
2025-03-25 12:45:00,9,996246.44,394.18,999794.015,2.115
2025-03-25 13:00:00,0,999800.99,394.62,999800.99,-0.0
2025-03-25 13:15:00,1,999406.55,394.61,999801.16,0.17
2025-03-25 13:30:00,2,999012.12,394.62,999801.37,0.39
2025-03-25 13:45:00,3,998617.72,394.64,999801.64,0.72
2025-03-25 14:00:00,4,998223.08,395.0,999803.06,1.42
2025-03-25 14:15:00,5,997827.87,395.47,999805.195,1.275
2025-03-25 14:30:00,6,997433.2,395.06,999803.59,2.37
2025-03-25 14:45:00,7,997038.55,394.82,999802.325,1.225
2025-03-25 15:00:00,8,996644.4,394.56,999800.88,3.28
2025-03-25 15:15:00,9,996251.01,393.8,999795.21,3.69
2025-03-25 15:30:00,0,999805.36,394.39,999805.36,-0.0
2025-03-25 15:45:00,1,999411.14,394.81,999805.945,0.585
2025-03-26 09:30:00,2,999017.18,394.61,999806.4,1.3
2025-03-26 10:00:00,3,998624.96,392.8,999803.345,1.725
2025-03-26 10:15:00,4,998232.57,392.98,999804.47,2.34
2025-03-26 10:30:00,5,997839.98,393.13,999805.655,2.725
2025-03-26 10:45:00,6,997446.69,393.89,999810.03,3.6
2025-03-26 11:00:00,7,997052.56,394.33,999812.87,1.4
2025-03-26 11:15:00,8,996658.93,394.1,999811.73,3.76
2025-03-26 11:30:00,9,996265.65,393.71,999809.085,3.915
2025-03-26 11:45:00,0,999806.96,392.83,999806.96,-0.0
2025-03-26 12:00:00,1,999414.78,392.48,999807.26,0.3
2025-03-26 12:15:00,2,999022.63,392.49,999807.6,0.67
2025-03-26 12:30:00,3,998630.57,392.58,999808.31,1.56
2025-03-26 12:45:00,4,998238.92,392.12,999807.42,1.9
2025-03-26 13:00:00,5,997847.08,392.19,999808.03,1.75
2025-03-26 13:15:00,6,997455.58,391.9,999807.01,2.43
2025-03-26 13:45:00,7,997065.73,390.1,999796.395,1.715
2025-03-26 14:00:00,8,996675.79,390.23,999797.59,2.28
2025-03-26 14:15:00,9,996285.65,390.36,999798.89,1.98
2025-03-26 14:30:00,0,999800.28,390.05,999800.28,-0.0
2025-03-26 14:45:00,1,999411.48,389.35,999800.83,0.55
2025-03-26 15:00:00,2,999022.89,388.98,999800.85,0.78
2025-03-26 15:15:00,3,998634.07,389.37,999802.18,1.65
2025-03-26 15:30:00,4,998244.69,389.59,999803.05,0.84
2025-03-26 15:45:00,5,997855.38,389.92,999804.98,3.05
2025-03-27 09:30:00,6,997467.95,388.87,999801.17,8.64
2025-03-27 10:00:00,7,997078.29,390.38,999810.915,5.005
2025-03-27 10:15:00,8,996688.74,390.15,999809.98,4.84
2025-03-27 10:30:00,9,996298.56,390.56,999813.555,3.375
2025-03-27 10:45:00,0,999814.96,390.15,999814.96,-0.0
2025-03-27 11:00:00,1,999424.9,390.5,999815.405,0.445
2025-03-27 11:15:00,2,999034.36,390.84,999816.03,0.59
2025-03-27 11:30:00,3,998644.37,390.29,999815.24,0.9
2025-03-27 11:45:00,4,998254.59,390.17,999815.29,1.58
2025-03-27 12:00:00,5,997864.33,390.69,999817.755,2.125
2025-03-27 12:15:00,6,997473.73,391.17,999820.75,3.42
2025-03-27 12:30:00,7,997083.02,391.05,999820.37,2.38
2025-03-27 13:00:00,8,996693.57,389.9,999812.77,3.6
2025-03-27 13:15:00,9,996303.85,390.06,999814.345,3.015
2025-03-27 13:30:00,0,999817.0,389.96,999817.0,-0.0
2025-03-27 13:45:00,1,999427.37,390.06,999817.43,0.43
2025-03-27 14:15:00,2,999036.76,390.92,999818.59,0.61
2025-03-27 14:30:00,3,998645.82,391.35,999819.855,1.215
2025-03-27 14:45:00,4,998254.9,391.35,999820.28,1.7
2025-03-27 15:00:00,5,997864.0,391.38,999820.9,2.4
2025-03-27 15:15:00,6,997472.31,391.94,999823.95,1.5
2025-03-27 15:30:00,7,997081.06,391.62,999822.435,2.625
2025-03-28 09:30:00,8,996694.9,387.64,999796.02,11.84
2025-03-28 09:45:00,9,996307.74,387.87,999798.525,6.345
2025-03-28 10:15:00,0,999779.15,384.88,999779.15,-0.0
2025-03-28 10:30:00,1,999395.63,384.14,999779.775,0.625
